business_name,search_category,primary_category,all_categories,pincode,circle,region,division,major_offices,phone_number,website,rating,reviews_count,address,area,latitude,longitude,place_id,place_url,part_id,crawled_at,s_no
The Finland Co-Operative Credit Society Limited,Microfinance and NBFC,Financial institution,Financial institution,391155,Gujarat circle,Vadodara Region,Vadodara East Division,"Motibumadi BO, Muldhar BO, Pandhara BO",+91 72010 00851,https://finlandhub.com/,4.8,51.0,"SHOP NO C/9, MANGLA GAURI RESIDENCY, Vn Green, ROAD, opp. PANCHAL WADI, Akhbar Nagar, Nava Vadaj, Ahmedabad, Gujarat 380013","Akhbar Nagar, Nava Vadaj",23.0741382,72.5643473,ChIJu1k1dluDXjkRNI6WXWxahLk,https://www.google.com/maps/place/?q=place_id:ChIJu1k1dluDXjkRNI6WXWxahLk,part_110,2026-09-20 16:41:16,8403
Fedbank Financial Services Ltd,Microfinance and NBFC,Loan agency,"Loan agency, Bank, Car finance and loan company, Finance broker, Financial institution, Investment company, Investment service, Private Sector Bank",391155,Gujarat circle,Vadodara Region,Vadodara East Division,"Motibumadi BO, Muldhar BO, Pandhara BO",+91 80 6961 6906,https://locations.fedfina.com/financial-services-in-harij-harij-gujarat/home,4.9,45.0,"Ground Floor, Harij - Becharaji Rd, near Bank of India, Harij, Gujarat 384240",391155,23.6891301,71.9072066,ChIJhxCFDSaHWzkRQ-lgKlp9Ajo,https://www.google.com/maps/place/?q=place_id:ChIJhxCFDSaHWzkRQ-lgKlp9Ajo,part_110,2026-09-20 16:41:16,8404
Fedbank Financial Services Ltd,Microfinance and NBFC,Loan agency,"Loan agency, Bank, Car finance and loan company, Finance broker, Financial institution, Investment company, Investment service, Private Sector Bank",391155,Gujarat circle,Vadodara Region,Vadodara East Division,"Motibumadi BO, Muldhar BO, Pandhara BO",+91 80 6986 7367,https://locations.fedfina.com/financial-services-in-kamrej-kamrej-gujarat/home,4.9,85.0,"Shop No: 127, Bhavani Complex, Block No: 101, 128, Kamrej Rd, beside Atul Bakery, Kamrej, Gujarat 394190",391155,21.2686238,72.9558541,ChIJ5d18wJVH4DsRIA686URpacY,https://www.google.com/maps/place/?q=place_id:ChIJ5d18wJVH4DsRIA686URpacY,part_110,2026-09-20 16:41:16,8405
Fedbank Financial Services Ltd,Microfinance and NBFC,Loan agency,"Loan agency, Bank, Car finance and loan company, Finance broker, Financial institution, Investment company, Investment service, Private Sector Bank",391155,Gujarat circle,Vadodara Region,Vadodara East Division,"Motibumadi BO, Muldhar BO, Pandhara BO",+91 80 6986 6869,https://locations.fedfina.com/financial-services-in-vallabh-nagar-society-bavla-gujarat/home,5.0,213.0,"4 & 5, zaveri bazar, No. 3, Station Road, beside Fashion House, Vallabh Nagar Society, Bavla, Gujarat 382220",Vallabh Nagar Society,22.8318856,72.3617391,ChIJYX6v6qiVXjkRbAVk7YLcrbw,https://www.google.com/maps/place/?q=place_id:ChIJYX6v6qiVXjkRbAVk7YLcrbw,part_110,2026-09-20 16:41:16,8406
Fedbank Financial Services Ltd,Microfinance and NBFC,Loan agency,"Loan agency, Bank, Car finance and loan company, Finance broker, Financial institution, Investment company, Investment service, Private Sector Bank",391155,Gujarat circle,Vadodara Region,Vadodara East Division,"Motibumadi BO, Muldhar BO, Pandhara BO",+91 80 6986 6919,https://www.fedfina.com/branch-locator/gold-loan-fedfina-limdi-branch-gujarat/?utm_source=gmb&utm_medium=seo_organic&utm_campaign=local_seo_sulekha_promanage_fedfina,5.0,202.0,"Ground Floor, No. 3062, Jasdan - Ahmedabad Hwy, near Nijanand Multispeciality Clinic, Swastik Society, Limbdi, Gujarat 363421",Swastik Society,22.5660374,71.8070614,ChIJY6__bvwxWTkREAKaWcTjUPo,https://www.google.com/maps/place/?q=place_id:ChIJY6__bvwxWTkREAKaWcTjUPo,part_110,2026-09-20 16:41:16,8407
Fedbank Financial Services Ltd,Microfinance and NBFC,Loan agency,"Loan agency, Bank, Car finance and loan company, Finance broker, Financial institution, Investment company, Investment service, Private Sector Bank",391155,Gujarat circle,Vadodara Region,Vadodara East Division,"Motibumadi BO, Muldhar BO, Pandhara BO",+91 80 6961 7379,https://locations.fedfina.com/financial-services-in-panch-hatdi-porbandar-gujarat/home,4.9,66.0,"Ground Flr, Kalyan Complex, No. 2, MG Rd, opp. SBI NRI Branch, Khijadi Plot, Panch Hatdi, Porbandar, Gujarat 360575","Khijadi Plot, Panch Hatdi",21.6384595,69.6198059,ChIJM19r7Hw1VjkRWir5P3iqx4I,https://www.google.com/maps/place/?q=place_id:ChIJM19r7Hw1VjkRWir5P3iqx4I,part_110,2026-09-20 16:41:16,8408
Fedbank Financial Services Ltd,Microfinance and NBFC,Loan agency,"Loan agency, Bank, Car finance and loan company, Finance broker, Financial institution, Investment company, Investment service, Private Sector Bank",391155,Gujarat circle,Vadodara Region,Vadodara East Division,"Motibumadi BO, Muldhar BO, Pandhara BO",+91 80 6986 6863,https://locations.fedfina.com/financial-services-in-katargam-surat-gujarat/home,4.9,49.0,"People's Plaza, No. 4/101, Gotalawadi Rd, beside Lazrara Perfumes, Gotalawadi, Tunki, Katargam, Surat, Gujarat 395004","Gotalawadi, Tunki, Katargam",21.2158138,72.8302069,ChIJO8tN0GRP4DsRrStW9wDHVZA,https://www.google.com/maps/place/?q=place_id:ChIJO8tN0GRP4DsRrStW9wDHVZA,part_110,2026-09-20 16:41:16,8409
Fedbank Financial Services Ltd,Microfinance and NBFC,Loan agency,"Loan agency, Bank, Car finance and loan company, Finance broker, Financial institution, Investment company, Investment service, Private Sector Bank",391155,Gujarat circle,Vadodara Region,Vadodara East Division,"Motibumadi BO, Muldhar BO, Pandhara BO",+91 80 6961 6923,https://locations.fedfina.com/financial-services-in-babra-amreli-gujarat/home,5.0,69.0,"Rajkot Road, opp. Sitaram Hospital, Babra, Gujarat 365421",391155,21.8504206,71.30283299999999,ChIJ-2jCW7ONWDkRvhgr_CtmH9g,https://www.google.com/maps/place/?q=place_id:ChIJ-2jCW7ONWDkRvhgr_CtmH9g,part_110,2026-09-20 16:41:16,8410
Fedbank Financial Services Ltd,Microfinance and NBFC,Loan agency,"Loan agency, Bank, Car finance and loan company, Finance broker, Financial institution, Investment company, Investment service, Private Sector Bank",391155,Gujarat circle,Vadodara Region,Vadodara East Division,"Motibumadi BO, Muldhar BO, Pandhara BO",+91 80 6961 6797,https://locations.fedfina.com/financial-services-in-faiza-ne-madina-society-balasinor-gujarat/home,4.8,25.0,"No. 48-50, Western Complex, Virpur Rd, Faiza Ne Madina Society, Balasinor, Gujarat 388255",Faiza Ne Madina Society,22.9570783,73.3387691,ChIJpQff57AZXjkRyrKBocHCRVQ,https://www.google.com/maps/place/?q=place_id:ChIJpQff57AZXjkRyrKBocHCRVQ,part_110,2026-09-20 16:41:16,8411
Fedbank Financial Services Ltd,Microfinance and NBFC,Loan agency,"Loan agency, Bank, Car finance and loan company, Finance broker, Financial institution, Investment company, Investment service, Private Sector Bank",391155,Gujarat circle,Vadodara Region,Vadodara East Division,"Motibumadi BO, Muldhar BO, Pandhara BO",+91 80 6961 6919,https://locations.fedfina.com/financial-services-in-dcw-colony-surendranagar-gujarat/home,4.9,53.0,"Ground floor, Reva Complex, No. 1/2/3, Club Rd, opp. Central Bank, DCW Colony, Dhrangadhra, Gujarat 363310",DCW Colony,22.989031,71.468959,ChIJu9pSY61jWTkRCl3yi6sU--U,https://www.google.com/maps/place/?q=place_id:ChIJu9pSY61jWTkRCl3yi6sU--U,part_110,2026-09-20 16:41:16,8412
Fedbank Financial Services Ltd,Microfinance and NBFC,Loan agency,Loan agency,391155,Gujarat circle,Vadodara Region,Vadodara East Division,"Motibumadi BO, Muldhar BO, Pandhara BO",+91 81408 61111,https://fedfina.com/branch-locator/mse-lap-fedfina-palitana-branch/,5.0,1.0,"No. 1, Momai Plaza, Bhid Banjan Mahdev Rd, opposite Ramji Mandir, Bharpura, Jeshar, Palitana, Gujarat 364270","Bharpura, Jeshar",21.5220031,71.8227848,ChIJy-IJabkF4jsRlMMBjjGRRXE,https://www.google.com/maps/place/?q=place_id:ChIJy-IJabkF4jsRlMMBjjGRRXE,part_110,2026-09-20 16:41:16,8413
Fedbank Financial Services Ltd,Microfinance and NBFC,Loan agency,"Loan agency, Bank, Car finance and loan company, Finance broker, Financial institution, Investment company, Investment service, Private Sector Bank",391155,Gujarat circle,Vadodara Region,Vadodara East Division,"Motibumadi BO, Muldhar BO, Pandhara BO",+91 80 6961 6942,https://locations.fedfina.com/financial-services-in-jawanapura-sabarkantha-gujarat/home,5.0,5.0,"Shop No 61 to, Shanay Complex, near Mehsana Urban Co.Op. Bank, Jawanpura, Damodar Area, Idar, Gujarat 383430",Jawanpura,23.8381975,73.0009522,ChIJn68hyngFDTkRjz79dd4pKkY,https://www.google.com/maps/place/?q=place_id:ChIJn68hyngFDTkRjz79dd4pKkY,part_110,2026-09-20 16:41:16,8414
Fusion Microfinance Privat Limited,Microfinance and NBFC,Corporate office,Corporate office,391155,Gujarat circle,Vadodara Region,Vadodara East Division,"Motibumadi BO, Muldhar BO, Pandhara BO",N/A,http://www.fusionmicrofinance.com/,5.0,2.0,"RXMR+RV9, Limkheda, Gujarat 389140",391155,22.8345274,73.9922457,ChIJv9WneL7vYDkRLrUuwVCIX1Q,https://www.google.com/maps/place/?q=place_id:ChIJv9WneL7vYDkRLrUuwVCIX1Q,part_110,2026-09-20 16:41:16,8415
Finbizz Financial Solutions,Microfinance and NBFC,Financial consultant,Financial consultant,391155,Gujarat circle,Vadodara Region,Vadodara East Division,"Motibumadi BO, Muldhar BO, Pandhara BO",N/A,http://www.finbizz.co/,5.0,4.0,"Emerald One, B 333 & 334, Jetalpur Rd, Anand Nagar, Alkapuri, Vadodara, Gujarat 390007","Anand Nagar, Alkapuri",22.3073612,73.17524329999999,ChIJVwuGPrDJXzkRBA0CnKMrSCE,https://www.google.com/maps/place/?q=place_id:ChIJVwuGPrDJXzkRBA0CnKMrSCE,part_110,2026-09-20 16:41:16,8416
